,1N-Z,n,z,A,EL,O,mass_excess,mass_unc,binding_energy,bind_ener_unc,beta_mode,beta_ener,beta_unc,atomic_mass,atom_mass_unc,symbol,a,radius_val,radius_unc,radius_preliminary_val,radius_preliminary_unc,parity_encoder,isospin_asymmetry
0,1,1,0,1,n,,8071.31806,0.00044,0.0,0.0,B-,782.347,0.0004,8664.9159,0.00047,n,1.0,-0.1149,0.0027,,,Even-Odd,1.0
1,-1,0,1,1,H,,7288.971064,1.3e-05,0.0,0.0,B-,,,7825.031898,1.4e-05,H,1.0,0.8783,0.0086,,,Even-Odd,-1.0
2,0,1,1,2,H,,13135.722895,1.5e-05,1.1122831000000002,0.0002,B-,,,14101.777844,1.5e-05,H,2.0,2.1421,0.0088,,,Odd-Odd,0.0
3,1,2,1,3,H,,14949.8109,8e-05,2.8272654000000004,0.0003,B-,18.59202,6e-05,16049.28132,8e-05,H,3.0,1.7591,0.0363,,,Even-Odd,0.33333333333333337
4,2,3,1,4,H,-n,24621.129,100.0,1.7204491,25.0,B-,22196.2131,100.0,26431.867,107.354,,,,,,,Odd-Odd,
5,3,4,1,5,H,-nn,32892.447,89.443,1.3363592000000002,17.8885,B-,21661.2131,91.6515,35311.492,96.02,,,,,,,Even-Odd,
6,4,5,1,6,H,-3n,41875.725,254.127,0.9616395,42.3545,B-,24283.6294,254.1268,44955.437,272.816,,,,,,,Odd-Odd,
7,5,6,1,7,H,-nn,,,,,B-,,,,,,,,,,,Even-Odd,
8,-1,1,2,3,He,,14931.21888,6e-05,2.57268044,0.00015,B-,,,16029.32197,6e-05,He,3.0,1.9661,0.003,,,Even-Odd,-0.33333333333333326
9,0,2,2,4,He,,2424.91587,0.00015,7.0739156,0.0002,B-,-22898.274,212.132,2603.25413,0.00016,He,4.0,1.6755,0.0028,,,Even-Even,0.0
10,1,3,2,5,He,-n,11231.234,20.0,5.5121325,4.0,B-,-447.6529,53.8516,12057.224,21.47,,,,,,,Even-Odd,
11,2,4,2,6,He,,17592.095,0.053,4.878519900000001,0.0089,B-,3505.2147,0.0532,18885.889,0.057,He,6.0,2.066,0.0111,,,Even-Even,0.33333333333333337
12,3,5,2,7,He,-n,26073.128,7.559,4.1230578,1.0799,B-,11166.0229,7.5595,27990.652,8.115,,,,,,,Even-Odd,
13,4,6,2,8,He,,31609.683,0.089,3.9245210000000004,0.0111,B-,10663.8784,0.1005,33934.388,0.095,He,8.0,1.9239,0.0306,,,Even-Even,0.5
14,5,7,2,9,He,,40935.826,46.816,3.349038,5.2018,B-,15980.9213,46.8169,43946.414,50.259,,,,,,,Even-Odd,
15,6,8,2,10,He,-nn,49197.147,92.848,2.995134,9.2848,B-,16144.5191,93.7152,52815.306,99.676,,,,,,,Even-Even,
16,-3,0,3,3,Li,-pp,,,,,B-,,,,,,,,,,,Even-Odd,
17,-2,1,3,4,Li,-p,25323.19,212.132,1.1537602999999998,53.033,B-,,,27185.561,227.733,,,,,,,Odd-Odd,
18,-1,2,3,5,Li,-p,11678.887,50.0,5.266132499999999,10.0,B-,,,12537.8,53.677,,,,,,,Even-Odd,
19,0,3,3,6,Li,,14086.88044,0.00144,5.3323312,0.0003,B-,-4288.1534,5.4478,15122.88742,0.00155,Li,6.0,2.589,0.039,,,Odd-Odd,0.0
20,1,4,3,7,Li,,14907.10463,0.00419,5.6064400999999995,0.0006,B-,-861.893,0.0707,16003.43426,0.0045,Li,7.0,2.444,0.042,,,Even-Odd,0.1428571428571429
21,2,5,3,8,Li,,20945.805,0.047,5.1597124,0.0059,B-,16004.1329,0.0591,22486.244,0.05,Li,8.0,2.339,0.044,,,Odd-Odd,0.25
22,3,6,3,9,Li,-3n,24954.905,0.186,5.0377685,0.0207,B-,13606.4541,0.2014,26790.191,0.2,Li,9.0,2.245,0.046,,,Even-Odd,0.33333333333333337
23,4,7,3,10,Li,-n,33052.628,12.721,4.5313512000000005,1.2721,B-,20445.1411,12.7216,35483.453,13.656,,,,,,,Odd-Odd,
24,5,8,3,11,Li,x,40728.259,0.615,4.1553816999999995,0.0559,B-,20551.0898,0.6591,43723.581,0.66,Li,11.0,2.482,0.043,,,Even-Odd,0.4545454545454546
25,6,9,3,12,Li,-n,49009.577,30.006,3.7915999,2.5005,B-,23931.8152,30.0669,52613.942,32.213,,,,,,,Odd-Odd,
26,7,10,3,13,Li,-nn,56980.895,70.003,3.5076307,5.3848,B-,23321.8152,70.7391,61171.503,75.15,,,,,,,Even-Odd,
27,-3,1,4,5,Be,x,,,,,B-,,,,,,,,,,,Even-Odd,
28,-2,2,4,6,Be,-,18375.034,5.448,4.4872478000000005,0.908,B-,,,19726.409,5.848,,,,,,,Even-Even,
29,-1,3,4,7,Be,,15768.998,0.071,5.3715487,0.0101,B-,-11907.5551,25.1504,16928.714,0.076,Be,7.0,2.646,0.016,2.646,0.016,Even-Odd,-0.1428571428571428
30,0,4,4,8,Be,-a,4941.672,0.035,7.0624356,0.0044,B-,-17979.8973,1.0005,5305.102,0.037,,,,,,,Even-Even,
31,1,5,4,9,Be,,11348.451,0.076,6.4626693,0.0085,B-,-1068.0349,0.8994,12183.062,0.082,Be,9.0,2.519,0.012,2.519,0.012,Even-Odd,0.11111111111111116
32,2,6,4,10,Be,,12607.487,0.081,6.497630600000001,0.0081,B-,556.8759,0.0822,13534.692,0.086,Be,10.0,2.355,0.017,2.361,0.017,Even-Even,0.19999999999999996
33,3,7,4,11,Be,,20177.169,0.238,5.9525402000000005,0.0216,B-,11509.4607,0.238,21661.08,0.255,Be,11.0,2.463,0.015,2.466,0.015,Even-Odd,0.2727272727272727
34,4,8,4,12,Be,,25077.761,1.909,5.7207223,0.159,B-,11708.3636,2.3214,26922.082,2.048,Be,12.0,,,2.503,0.015,Even-Even,0.33333333333333337
35,5,9,4,13,Be,-n,33659.08,10.18,5.241435900000001,0.7831,B-,17097.1315,10.2295,36134.506,10.929,,,,,,,Even-Odd,
36,6,10,4,14,Be,x,39954.502,132.245,4.9938972999999995,9.4461,B-,16290.8166,133.9357,42892.92,141.97,,,,,,,Even-Even,
37,7,11,4,15,Be,-n,49825.821,165.797,4.5409708,11.0532,B-,20868.4411,167.1256,53490.215,177.99,,,,,,,Even-Odd,
38,8,12,4,16,Be,-nn,57447.139,165.797,4.2852851,10.3623,B-,20335.4399,167.6075,61672.036,177.99,,,,,,,Even-Even,
39,-4,1,5,6,B,x,,,,,B-,,,,,,,,,,,Odd-Odd,
40,-3,2,5,7,B,p4n,27676.553,25.15,3.5587055,3.5929,B-,,,29712.0,27.0,,,,,,,Even-Odd,
41,-2,3,5,8,B,,22921.569,1.0,4.7171551,0.125,B-,-12142.7002,18.2704,24607.315,1.073,,,,,,,Odd-Odd,
42,-1,4,5,9,B,-,12416.486,0.903,6.2570713,0.1003,B-,-16494.4854,2.3195,13329.645,0.969,,,,,,,Even-Odd,
43,0,5,5,10,B,,12050.611,0.015,6.475083499999999,0.0015,B-,-3648.0623,0.0687,12936.862,0.016,B,10.0,2.4277,0.0499,,,Odd-Odd,0.0
44,1,6,5,11,B,,8667.708,0.012,6.9277323,0.0011,B-,-1981.6889,0.0608,9305.166,0.013,B,11.0,2.406,0.0294,,,Even-Odd,0.09090909090909094
45,2,7,5,12,B,,13369.398,1.321,6.6312237,0.1101,B-,13369.3979,1.3214,14352.638,1.418,,,,,,,Odd-Odd,
46,3,8,5,13,B,-nn,16561.948,1.0,6.4964194,0.0769,B-,13436.9387,1.0001,17779.981,1.073,,,,,,,Even-Odd,
47,4,9,5,14,B,,23663.686,21.213,6.1016451,1.5152,B-,20643.7926,21.2133,25404.01,22.773,,,,,,,Odd-Odd,
48,5,10,5,15,B,,28957.379,21.029,5.8800438,1.4019,B-,19084.2343,21.0442,31087.023,22.575,,,,,,,Even-Odd,
49,6,11,5,16,B,,37111.699,24.566,5.5073535,1.5354,B-,23417.5656,24.8254,39841.045,26.373,,,,,,,Odd-Odd,
50,7,12,5,17,B,x,43716.322,204.104,5.2696677,12.0061,B-,22684.4422,204.841,46931.399,219.114,,,,,,,Even-Odd,
51,8,13,5,18,B,-n,51792.64,204.165,4.9766306,11.3425,B-,26873.3742,206.3572,55601.683,219.18,,,,,,,Odd-Odd,
52,9,14,5,19,B,x,59770.251,525.363,4.7196346,27.6507,B-,27356.4961,534.4964,64166.0,564.0,,,,,,,Even-Odd,
53,10,15,5,20,B,-n,69401.569,546.357,4.4056529,27.3178,B-,31898.0019,593.0377,74505.644,586.538,,,,,,,Odd-Odd,
54,11,16,5,21,B,-nn,78382.887,558.664,4.1525265,26.6031,B-,,,84147.485,599.75,,,,,,,Even-Odd,
55,-4,2,6,8,C,,35064.269,18.243,3.1015241999999996,2.2804,B-,,,37643.039,19.584,,,,,,,Even-Even,
56,-3,3,6,9,C,-pp,28910.971,2.137,4.3374233,0.2374,B-,,,31037.202,2.293,,,,,,,Even-Odd,
57,-2,4,6,10,C,,15698.673,0.07,6.0320426,0.007,B-,-23101.3545,400.0,16853.217,0.075,,,,,,,Even-Even,
58,-1,5,6,11,C,,10649.397,0.06,6.6764563,0.0054,B-,-13716.2469,5.0008,11432.597,0.064,,,,,,,Even-Odd,
59,0,6,6,12,C,,0.0,0.0,7.680144599999999,0.0002,B-,-17338.0681,0.9999,0.0,0.0,C,12.0,2.4702,0.0022,,,Even-Even,0.0
60,1,7,6,13,C,,3125.00933,0.00023,7.4698495000000005,0.0002,B-,-2220.4718,0.2695,3354.83534,0.00025,C,13.0,2.4614,0.0034,,,Even-Odd,0.07692307692307687
61,2,8,6,14,C,,3019.89328,0.00375,7.5203198,0.0004,B-,156.4765,0.0037,3241.98862,0.00403,C,14.0,2.5025,0.0087,,,Even-Even,0.1428571428571429
62,3,9,6,15,C,-n,9873.145,0.8,7.1001696,0.0533,B-,9771.7071,0.8,10599.256,0.858,,,,,,,Even-Odd,
63,4,10,6,16,C,-nn,13694.133,3.578,6.9220546,0.2236,B-,8010.226,4.254,14701.255,3.84,,,,,,,Even-Even,
64,5,11,6,17,C,2p-n,21031.88,17.365,6.5580262000000005,1.0215,B-,13161.8007,22.9464,22578.65,18.641,,,,,,,Even-Odd,
65,6,12,6,18,C,++,24919.266,30.0,6.4261321,1.6667,B-,11806.0982,35.2821,26751.93,32.206,,,,,,,Even-Even,
66,7,13,6,19,C,-n,32413.754,98.389,6.118274,5.1784,B-,16557.4995,99.7475,34797.594,105.625,,,,,,,Even-Odd,
67,8,14,6,20,C,x,37503.567,230.625,5.9614356,11.5312,B-,15737.0689,243.7459,40261.732,247.585,,,,,,,Even-Even,
68,9,15,6,21,C,x,,,,,B-,,,,,,,,,,,Even-Odd,
69,10,16,6,22,C,-nn,53611.203,231.49,5.4210778,10.5223,B-,21846.3983,311.0627,57553.99,248.515,,,,,,,Even-Even,
70,11,17,6,23,C,x,,,,,B-,,,,,,,,,,,Even-Odd,
71,-4,3,7,10,N,--,38800.027,400.0,3.6436724,40.0,B-,,,41653.54,429.417,,,,,,,Odd-Odd,
72,-3,4,7,11,N,-p,24365.644,5.0,5.3584023,0.4546,B-,-23373.2693,60.2459,26157.593,5.368,,,,,,,Even-Odd,
73,-2,5,7,12,N,,17338.068,1.0,6.170109999999999,0.0833,B-,-14675.2668,12.0418,18613.18,1.073,,,,,,,Odd-Odd,
74,-1,6,7,13,N,-p,5345.481,0.27,7.2388634000000005,0.0207,B-,-17769.9506,9.5301,5738.609,0.289,,,,,,,Even-Odd,
75,0,7,7,14,N,,2863.41683,0.00022,7.475614800000001,0.0002,B-,-5144.3643,0.0252,3074.00425,0.00024,N,14.0,2.5582,0.007,,,Odd-Odd,0.0
76,1,8,7,15,N,,101.43809,0.00058,7.6994603,0.0002,B-,-2754.1841,0.4902,108.89827,0.00062,N,15.0,2.6058,0.008,,,Even-Odd,0.06666666666666665
77,2,9,7,16,N,-n,5683.907,2.301,7.3737971,0.1438,B-,10420.9094,2.3014,6101.925,2.47,,,,,,,Odd-Odd,
78,3,10,7,17,N,+p,7870.079,15.0,7.2862294,0.8824,B-,8678.843,15.0,8448.876,16.103,,,,,,,Even-Odd,
79,4,11,7,18,N,+,13113.167,18.57,7.038562700000001,1.0316,B-,13895.9838,18.5695,14077.563,19.935,,,,,,,Odd-Odd,
80,5,12,7,19,N,p-2n,15856.255,16.404,6.9485452,0.8634,B-,12523.3972,16.6143,17022.389,17.61,,,,,,,Even-Odd,
81,6,13,7,20,N,x,21766.498,78.894,6.7091717,3.9447,B-,17970.3261,78.8991,23367.295,84.696,,,,,,,Odd-Odd,
82,7,14,7,21,N,x,25231.915,134.048,6.6090159,6.3832,B-,17169.8816,134.584,27087.573,143.906,,,,,,,Even-Odd,
83,8,15,7,22,N,x,31764.805,207.779,6.3785347,9.4445,B-,22481.7725,215.435,34100.918,223.06,,,,,,,Odd-Odd,
84,9,16,7,23,N,x,36720.429,420.57,6.2366721,18.2856,B-,22099.0584,437.8271,39421.0,451.5,,,,,,,Even-Odd,
85,10,17,7,24,N,x,,,,,B-,,,,,,,,,,,Odd-Odd,
86,11,18,7,25,N,x,,,,,B-,,,,,,,,,,,Even-Odd,
87,-5,3,8,11,O,-pp,47738.913,60.038,3.1624372,5.458,B-,,,51249.828,64.453,,,,,,,Even-Odd,
88,-4,4,8,12,O,-pp,32013.335,12.0,4.881975499999999,1.0,B-,,,34367.726,12.882,,,,,,,Even-Even,
89,-3,5,8,13,O,+3n,23115.432,9.526,5.8117636,0.7328,B-,,,24815.435,10.226,,,,,,,Even-Odd,
90,-2,6,8,14,O,,8007.781,0.025,7.0522783,0.0018,B-,-23956.6215,41.1187,8596.706,0.027,,,,,,,Even-Even,
91,-1,7,8,15,O,,2855.622,0.49,7.4636914999999995,0.0327,B-,-13711.13,14.0086,3065.636,0.526,,,,,,,Even-Odd,
92,0,8,8,16,O,,-4737.00217,0.0003,7.9762072,0.0002,B-,-15412.184,5.3642,994914.61926,0.00032,O,16.0,2.6991,0.0052,,,Even-Even,0.0
93,1,9,8,17,O,,-808.76421,0.00064,7.750729099999999,0.0002,B-,-2760.4655,0.2479,999131.75595,0.00069,O,17.0,2.6932,0.0075,,,Even-Odd,0.05882352941176472
94,2,10,8,18,O,,-782.81634,0.00064,7.7670981,0.0002,B-,-1655.9288,0.4633,999159.61214,0.00069,O,18.0,2.7726,0.0056,,,Even-Even,0.11111111111111116
95,3,11,8,19,O,-n,3332.858,2.637,7.5664952,0.1388,B-,4820.3029,2.637,3577.969,2.83,,,,,,,Even-Odd,
96,4,12,8,20,O,-nn,3796.172,0.885,7.5685707,0.0442,B-,3813.6349,0.8854,4075.357,0.95,,,,,,,Even-Even,
97,5,13,8,21,O,-3n,8062.034,12.0,7.3893747,0.5714,B-,8109.639,12.1342,8654.948,12.882,,,,,,,Even-Odd,
98,6,14,8,22,O,-4n,9283.032,56.921,7.3648722,2.5873,B-,6489.6562,58.2558,9965.744,61.107,,,,,,,Even-Even,
99,7,15,8,23,O,x,14621.371,121.712,7.1634856,5.2918,B-,11336.1072,126.1904,15696.686,130.663,,,,,,,Even-Odd,
100,8,16,8,24,O,x,18500.404,164.874,7.039685499999999,6.8698,B-,10955.8885,191.6327,19861.0,177.0,,,,,,,Even-Even,
101,9,17,8,25,O,-n,27329.03,165.084,6.7278058000000005,6.6034,B-,15994.8633,191.1909,29338.919,177.225,,,,,,,Even-Odd,
102,10,18,8,26,O,-nn,34661.041,164.95,6.497479,6.3442,B-,15986.3855,196.6301,37210.155,177.081,,,,,,,Even-Even,
103,11,19,8,27,O,x,,,,,B-,,,,,,,,,,,Even-Odd,
104,12,20,8,28,O,x,,,,,B-,,,,,,,,,,,Even-Even,
105,-5,4,9,13,F,x,,,,,B-,,,,,,,,,,,Even-Odd,
106,-4,5,9,14,F,-p,31964.403,41.119,5.2852091,2.9371,B-,,,34315.196,44.142,,,,,,,Odd-Odd,
107,-3,6,9,15,F,-p,16566.752,14.0,6.4974597,0.9333,B-,-23648.6215,68.1377,17785.139,15.029,,,,,,,Even-Odd,
108,-2,7,9,16,F,,10675.182,5.364,6.964049,0.3353,B-,-13311.5932,21.1709,11460.278,5.758,,,,,,,Odd-Odd,
109,-1,8,9,17,F,,1951.701,0.248,7.542328400000001,0.0146,B-,-14548.7507,0.4323,2095.237,0.266,,,,,,,Even-Odd,
110,0,9,9,18,F,,873.112,0.463,7.6316383,0.0257,B-,-4444.5049,0.5888,937.324,0.497,,,,,,,Odd-Odd,
111,1,10,9,19,F,,-1487.44512,0.00082,7.7790192,0.0002,B-,-3239.4986,0.1601,998403.16207,0.00088,F,19.0,2.8976,0.0025,,,Even-Odd,0.052631578947368474
112,2,11,9,20,F,-n,-17.463,0.03,7.7201351,0.0015,B-,7024.4689,0.0297,999981.252,0.031,,,,,,,Odd-Odd,
113,3,12,9,21,F,-nn,-47.605,1.8,7.7382934,0.0857,B-,5684.1712,1.8004,999948.893,1.932,,,,,,,Even-Odd,
114,4,13,9,22,F,+,2793.376,12.399,7.6242954,0.5636,B-,10818.0916,12.399,2998.812,13.31,,,,,,,Odd-Odd,
115,5,14,9,23,F,,3285.263,33.32,7.622344699999999,1.4487,B-,8439.3084,33.3206,3526.875,35.77,,,,,,,Even-Odd,
116,6,15,9,24,F,x,7544.516,97.67,7.4635831,4.0696,B-,13496.1583,97.6717,8099.37,104.853,,,,,,,Odd-Odd,
117,7,16,9,25,F,x,11334.167,96.442,7.3363065,3.8577,B-,13369.6698,100.7212,12167.727,103.535,,,,,,,Even-Odd,
118,8,17,9,26,F,,18674.655,107.027,7.0822497,4.1164,B-,18193.5414,108.6022,20048.065,114.898,,,,,,,Odd-Odd,
119,9,18,9,27,F,,25133.478,120.198,6.8796662,4.4518,B-,18082.568,150.6211,26981.897,129.037,,,,,,,Even-Odd,
120,10,19,9,28,F,-n,33403.796,120.347,6.6268567,4.2981,B-,22104.0579,174.2886,35860.448,129.198,,,,,,,Odd-Odd,
121,11,20,9,29,F,x,40150.19,525.363,6.4440314,18.116,B-,21750.3873,546.2212,43103.0,564.0,,,,,,,Even-Odd,
122,12,21,9,30,F,x,,,,,B-,,,,,,,,,,,Odd-Odd,
123,13,22,9,31,F,-nn,,,,,B-,,,,,,,,,,,Even-Odd,
124,-5,5,10,15,Ne,-pp,40215.374,66.684,4.8687285000000005,4.4456,B-,,,43172.977,71.588,,,,,,,Even-Odd,
125,-4,6,10,16,Ne,--,23986.775,20.48,6.0831777,1.28,B-,,,25750.86,21.986,,,,,,,Even-Even,
126,-3,7,10,17,Ne,,16500.452,0.354,6.6404991,0.0208,B-,-18219.1277,59.6167,17713.962,0.38,Ne,17.0,3.0413,0.0088,,,Even-Odd,-0.17647058823529416
127,-2,8,10,18,Ne,,5317.617,0.363,7.3412577,0.0202,B-,-19720.3745,93.8819,5708.696,0.39,Ne,18.0,2.9714,0.0076,,,Even-Even,-0.11111111111111116
128,-1,9,10,19,Ne,+3n,1752.054,0.16,7.5673431,0.0084,B-,-11177.331,10.5364,1880.906,0.171,Ne,19.0,3.0082,0.004,,,Even-Odd,-0.05263157894736836
129,0,10,10,20,Ne,,-7041.93217,0.00154,8.0322412,0.0002,B-,-13892.4207,1.109,992440.17525,0.00165,Ne,20.0,3.0055,0.0021,,,Even-Even,0.0
130,1,11,10,21,Ne,,-5731.776,0.038,7.9717136,0.0018,B-,-3546.919,0.0177,993846.685,0.041,Ne,21.0,2.9695,0.0033,,,Even-Odd,0.04761904761904767
131,2,12,10,22,Ne,,-8024.716,0.018,8.0804656,0.0008,B-,-2843.3243,0.1325,991385.113,0.018,Ne,22.0,2.9525,0.004,,,Even-Even,0.09090909090909094
132,3,13,10,23,Ne,-n,-5154.045,0.104,7.9552561,0.0045,B-,4375.8085,0.1044,994466.905,0.112,Ne,23.0,2.9104,0.0071,,,Even-Odd,0.13043478260869568
133,4,14,10,24,Ne,-nn,-5951.642,0.513,7.9933252,0.0214,B-,2466.2583,0.513,993610.649,0.55,Ne,24.0,2.9007,0.0078,,,Even-Even,0.16666666666666663
134,5,15,10,25,Ne,,-2035.503,29.045,7.8397993999999995,1.1618,B-,7322.3107,29.0701,997814.797,31.181,Ne,25.0,2.9316,0.0088,,,Even-Odd,0.19999999999999996
135,6,16,10,26,Ne,x,481.114,18.429,7.751911,0.7088,B-,7341.894,18.7585,516.496,19.784,Ne,26.0,2.9251,0.01,,,Even-Even,0.23076923076923073
136,7,17,10,27,Ne,x,7050.91,90.77,7.5204151,3.3619,B-,12568.7005,90.8467,7569.462,97.445,,,,,,,Even-Odd,
137,8,18,10,28,Ne,x,11299.738,126.068,7.3883463,4.5024,B-,12288.0534,126.4833,12130.767,135.339,Ne,28.0,2.9642,0.0134,,,Even-Even,0.2857142857142857
138,9,19,10,29,Ne,x,18399.803,149.505,7.167067299999999,5.1553,B-,15719.8092,149.6847,19753.0,160.5,,,,,,,Even-Odd,
139,10,20,10,30,Ne,,23280.12,253.25,7.0345317,8.4417,B-,14805.4501,253.2946,24992.235,271.875,,,,,,,Even-Even,
140,11,21,10,31,Ne,,31181.594,266.195,6.8130901999999995,8.5869,B-,18935.5625,266.5617,33474.816,285.772,,,,,,,Even-Odd,
141,12,22,10,32,Ne,x,,,,,B-,,,,,,,,,,,Even-Even,
142,13,23,10,33,Ne,x,,,,,B-,,,,,,,,,,,Even-Odd,
143,14,24,10,34,Ne,-nn,,,,,B-,,,,,,,,,,,Even-Even,
144,-5,6,11,17,Na,x,34719.58,59.616,5.5227653,3.5068,B-,,,37273.0,64.0,,,,,,,Even-Odd,
145,-4,7,11,18,Na,,25037.992,93.881,6.2022176,5.2156,B-,,,26879.388,100.785,,,,,,,Odd-Odd,
146,-3,8,11,19,Na,,12929.384,10.535,6.9378864,0.5545,B-,-18909.0095,60.9189,13880.264,11.309,,,,,,,Even-Odd,
147,-2,9,11,20,Na,,6850.489,1.109,7.2985028000000005,0.0554,B-,-10627.2054,2.1681,7354.301,1.19,Na,20.0,2.9718,0.042,,,Odd-Odd,-0.10000000000000009
148,-1,10,11,21,Na,,-2184.857,0.042,7.7655581,0.002,B-,-13088.708,0.7557,997654.459,0.045,Na,21.0,3.0136,0.0284,,,Even-Odd,-0.04761904761904767
149,0,11,11,22,Na,,-5181.391,0.132,7.9156624,0.006,B-,-4781.4051,0.1631,994437.547,0.141,Na,22.0,2.9852,0.0169,,,Odd-Odd,0.0
150,1,12,11,23,Na,,-9529.85352,0.00181,8.1114936,0.0002,B-,-4056.179,0.0317,989769.28195,0.00194,Na,23.0,2.9936,0.0021,,,Even-Odd,0.04347826086956519
151,2,13,11,24,Na,-n,-8417.901,0.017,8.0634882,0.0007,B-,5515.6774,0.021,990963.012,0.017,Na,24.0,2.9735,0.0169,,,Odd-Odd,0.08333333333333337
152,3,14,11,25,Na,-nn,-9357.814,1.2,8.1013979,0.048,B-,3834.9684,1.2009,989953.974,1.288,Na,25.0,2.9769,0.0252,,,Even-Odd,0.12
153,4,15,11,26,Na,x,-6860.78,3.502,8.0042013,0.1347,B-,9353.7631,3.5018,992634.649,3.759,Na,26.0,2.9928,0.0331,,,Odd-Odd,0.15384615384615385
154,5,16,11,27,Na,++,-5517.791,3.726,7.9569467000000005,0.138,B-,9068.8037,3.7266,994076.408,4.0,Na,27.0,3.0136,0.0467,,,Even-Odd,0.18518518518518523
155,6,17,11,28,Na,x,-988.315,10.246,7.7992644,0.3659,B-,14031.6303,10.2498,998939.0,11.0,Na,28.0,3.04,0.0581,,,Odd-Odd,0.2142857142857143
156,7,18,11,29,Na,,2679.994,7.337,7.682152200000001,0.253,B-,13292.3538,7.3447,2877.091,7.876,Na,29.0,3.0922,0.0723,,,Even-Odd,0.24137931034482762
157,8,19,11,30,Na,,8474.67,4.727,7.5019685,0.1576,B-,17356.0423,4.9011,9097.931,5.074,Na,30.0,3.118,0.0884,,,Odd-Odd,0.2666666666666667
158,9,20,11,31,Na,x,12246.031,13.972,7.398677800000001,0.4507,B-,15368.1833,14.3065,13146.654,15.0,Na,31.0,3.1704,0.0893,,,Even-Odd,0.29032258064516125
159,10,21,11,32,Na,x,18640.152,37.26,7.2198815000000005,1.1644,B-,19469.0523,37.4021,20011.024,40.0,,,,,,,Odd-Odd,
160,11,22,11,33,Na,x,23780.113,449.912,7.0899262,13.6337,B-,18817.24,449.9195,25529.0,483.0,,,,,,,Even-Odd,
161,12,23,11,34,Na,x,31680.114,599.416,6.8864377,17.6299,B-,23356.7903,599.4561,34010.0,643.5,,,,,,,Odd-Odd,
162,13,24,11,35,Na,-n,,,,,B-,,,,,,,,,,,Even-Odd,
163,14,25,11,36,Na,-n,,,,,B-,,,,,,,,,,,Odd-Odd,
164,15,26,11,37,Na,-nn,,,,,B-,,,,,,,,,,,Even-Odd,
165,16,27,11,38,Na,-n,,,,,B-,,,,,,,,,,,Odd-Odd,
166,17,28,11,39,Na,-n,,,,,B-,,,,,,,,,,,Even-Odd,
167,-5,7,12,19,Mg,-pp,31838.394,60.001,5.9014992,3.1579,B-,,,34179.92,64.413,,,,,,,Even-Odd,
168,-4,8,12,20,Mg,+t,17477.694,1.863,6.7280252,0.0931,B-,,,18763.075,2.0,,,,,,,Even-Even,
169,-3,9,12,21,Mg,x,10903.851,0.755,7.1050317,0.0359,B-,,,11705.764,0.81,Mg,21.0,,,3.0626,0.0067,Even-Odd,-0.1428571428571428
170,-2,10,12,22,Mg,,-399.986,0.159,7.662764500000001,0.0072,B-,,,999570.597,0.17,Mg,22.0,,,3.0688,0.0052,Even-Even,-0.09090909090909083
171,-1,11,12,23,Mg,-,-5473.675,0.032,7.901122900000001,0.0014,B-,-12221.7457,0.3461,994123.768,0.034,Mg,23.0,,,3.0425,0.0039,Even-Odd,-0.04347826086956519
172,0,12,12,24,Mg,,-13933.578,0.013,8.260710300000001,0.0006,B-,-13884.766,0.2282,985041.689,0.013,Mg,24.0,3.057,0.0016,3.0568,0.0018,Even-Even,0.0
173,1,13,12,25,Mg,,-13192.782,0.047,8.2235028,0.0019,B-,-4276.808,0.0447,985836.966,0.05,Mg,25.0,3.0284,0.0022,3.0288,0.002,Even-Odd,0.040000000000000036
174,2,14,12,26,Mg,,-16214.544,0.029,8.3338711,0.0011,B-,-4004.4042,0.0629,982592.972,0.031,Mg,26.0,3.0337,0.0018,3.0337,0.0018,Even-Even,0.07692307692307687
175,3,15,12,27,Mg,,-14586.594,0.047,8.2638525,0.0018,B-,2610.2694,0.0669,984340.647,0.05,Mg,27.0,,,3.0324,0.0022,Even-Odd,0.11111111111111116
176,4,16,12,28,Mg,x,-15019.946,0.261,8.2724531,0.0093,B-,1830.774,0.2653,983875.426,0.28,Mg,28.0,,,3.0691,0.0034,Even-Even,0.1428571428571429
177,5,17,12,29,Mg,,-10612.36,0.345,8.1135317,0.0119,B-,7595.4023,0.4873,988607.163,0.369,Mg,29.0,,,3.0756,0.004,Even-Odd,0.1724137931034483
178,6,18,12,30,Mg,,-8881.373,1.295,8.054425,0.0432,B-,6982.744,2.3287,990465.454,1.39,Mg,30.0,,,3.1107,0.0056,Even-Even,0.19999999999999996
179,7,19,12,31,Mg,x,-3122.152,3.074,7.8691886,0.0992,B-,11828.5569,3.8009,996648.232,3.3,Mg,31.0,,,3.1486,0.0076,Even-Odd,0.22580645161290325
180,8,20,12,32,Mg,x,-828.901,3.26,7.8038411,0.1019,B-,10270.4677,7.8787,999110.138,3.5,Mg,32.0,,,3.1861,0.0131,Even-Even,0.25
181,9,21,12,33,Mg,,4962.873,2.663,7.6364382,0.0807,B-,13460.255,7.4767,5327.862,2.859,,,,,,,Even-Odd,
182,10,22,12,34,Mg,x,8323.324,6.893,7.550391899999999,0.2027,B-,11320.9428,7.2072,8935.455,7.4,,,,,,,Even-Even,
183,11,23,12,35,Mg,x,15639.786,269.668,7.3562338,7.7048,B-,15863.5156,269.7679,16790.0,289.5,,,,,,,Even-Odd,
