,mass_excess,binding_energy,beta_ener,atomic_mass,radius_val,1N-Z,n,z,A,EL,O,mass_unc,bind_ener_unc,beta_mode,beta_unc,atom_mass_unc,symbol,a,radius_unc,radius_preliminary_val,radius_preliminary_unc,parity_encoder,isospin_asymmetry,a^1/3
15,1.7912247235076815,-2.4090691025450557,-0.37784709735904387,-3.0534129026173678,-2.7986466049458896,0,5,5,10,B,,0.015,0.0015,B-,0.0687,0.016,B,10,0.0499,,,Odd-Odd,0.0,2.154434690031884
16,2.618854676349205,-5.750173518130833,4.4082059153211555,-2.940852163583302,-2.7322200771726797,5,8,3,11,Li,x,0.615,0.0559,B-,0.6591,0.66,Li,11,0.043,,,Even-Odd,0.4545454545454546,2.2239800905693152
17,2.0257552126992606,-3.1616967579466078,2.6199731700262503,-3.0215158880126514,-2.75546324527012,3,7,4,11,Be,,0.238,0.0216,B-,0.238,0.255,Be,11,0.015,2.466,0.015,Even-Odd,0.2727272727272727,2.2239800905693152
18,1.6935949649459805,-1.7571116378443754,-0.04827557359808757,-3.0666909133630744,-2.8251927495624396,1,6,5,11,B,,0.012,0.0011,B-,0.0608,0.013,B,11,0.0294,,,Even-Odd,0.09090909090909094,2.2239800905693152
19,2.1671851070147063,-3.495587868132332,2.6593117311395478,-3.0022808966782484,,4,8,4,12,Be,,1.909,0.159,B-,2.3214,2.048,Be,12,,2.503,0.015,Even-Even,0.33333333333333337,2.2894284851066637
20,1.4434470182495116,-0.6733999047797853,-3.085425165877378,-3.100711958664935,-2.7466553078858267,0,6,6,12,C,,0.0,0.0002,B-,0.9999,0.0,C,12,0.0022,,,Even-Even,0.0,2.2894284851066637
21,1.5336340281611063,-0.976291374358353,-0.09550150999449185,-3.08844619090943,-2.757420564688852,1,7,6,13,C,,0.00023,0.0002,B-,0.2695,0.00025,C,13,0.0034,,,Even-Odd,0.07692307692307687,2.3513346877207573
22,1.5306004045004633,-0.903598176385261,0.3746058939835209,-3.088858774991572,-2.707141922120179,2,8,6,14,C,,0.00375,0.0004,B-,0.0037,0.00403,C,14,0.0087,,,Even-Even,0.1428571428571429,2.4101422641752297
23,1.526084532175986,-0.9679875185406883,-0.6737822882031647,-3.089472950371331,-2.639002739855579,0,7,7,14,N,,0.00022,0.0002,B-,0.0252,0.00024,N,14,0.007,,,Odd-Odd,0.0,2.4101422641752297
24,1.4463744968782695,-0.6455791863753193,-0.20105790927508807,-3.100313810692404,-2.580772487148308,1,8,7,15,N,,0.00058,0.0002,B-,0.4902,0.00062,N,15,0.008,,,Even-Odd,0.06666666666666665,2.46621207433047
25,1.3067382866768493,-0.24697610317312682,-2.704528208794411,0.5368411310196537,-2.4666362985435106,0,8,8,16,O,,0.0003,0.0002,B-,5.3642,0.00032,O,16,0.0052,,,Even-Even,0.0,2.5198420997897464
26,1.4201062796721284,-0.5717358958015996,-0.20230023021549196,0.5522595983930064,-2.473853913900084,1,9,8,17,O,,0.00064,0.0002,B-,0.2479,0.00069,O,17,0.0075,,,Even-Odd,0.05882352941176472,2.571281590658235
27,1.919646053492005,-2.170818310323929,-3.259679120540972,-3.0359471276369407,-2.0480146078622496,-3,7,10,17,Ne,,0.354,0.0208,B-,59.6167,0.38,Ne,17,0.0088,,,Even-Odd,-0.17647058823529416,2.571281590658235
28,1.4208551288952043,-0.5481593575677943,0.016152514690840687,0.5523614446902059,-2.376721937745519,2,10,8,18,O,,0.00064,0.0002,B-,0.4633,0.00069,O,18,0.0056,,,Even-Even,0.11111111111111116,2.6207413942088964
29,1.5969121527312264,-1.1615042455938391,-3.556592282631329,-3.079840132710347,-2.1335249999680945,-2,8,10,18,Ne,,0.363,0.0202,B-,93.8819,0.39,Ne,18,0.0076,,,Even-Even,-0.11111111111111116,2.6207413942088964
30,1.400519713523547,-0.5309892024001612,-0.2970423022498479,0.5495957528046375,-2.2238063581570984,1,10,9,19,F,,0.00082,0.0002,B-,0.1601,0.00088,F,19,0.0025,,,Even-Odd,0.052631578947368474,2.668401648721945
31,1.4940108709544406,-0.8358697488496978,-1.8669686581476848,-3.093835091746651,-2.0885066533372636,-1,9,10,19,Ne,+3n,0.16,0.0084,B-,10.5364,0.171,Ne,19,0.004,,,Even-Odd,-0.05263157894736836,2.668401648721945
32,1.2402185669563544,-0.16626941715730717,-2.4039528956401206,0.5277942024897244,-2.0918096298563733,0,10,10,20,Ne,,0.00154,0.0002,B-,1.109,0.00165,Ne,20,0.0021,,,Even-Even,0.0,2.7144176165949063
33,1.641150466175624,-1.2230848268469665,-1.7581660738938134,-3.073823560598257,-2.133035670113412,-2,9,11,20,Na,,1.109,0.0554,B-,2.1681,1.19,Na,20,0.042,,,Odd-Odd,-0.10000000000000009,2.7144176165949063
34,1.2780293556651123,-0.25344830869621443,-0.35784320657489455,0.5329366074637208,-2.1358493167778385,1,11,10,21,Ne,,0.038,0.0018,B-,0.0177,0.041,Ne,21,0.0033,,,Even-Odd,0.04761904761904767,2.7589241763811203
35,1.3803925761322406,-0.5503774447374482,-2.2449964341381357,0.546858385082008,-2.081900700299044,-1,10,11,21,Na,,0.042,0.002,B-,0.7557,0.045,Na,21,0.0284,,,Even-Odd,-0.04761904761904767,2.7589241763811203
36,1.7581295085611648,-1.501744414255245,,-3.057913976626045,,-3,9,12,21,Mg,x,0.755,0.0359,B-,,0.81,Mg,21,,3.0626,0.0067,Even-Odd,-0.1428571428571428,2.7589241763811203
37,1.2118556644311433,-0.09681102566104828,-0.2186878543656401,0.5239367408814596,-2.156645835601864,2,12,10,22,Ne,,0.018,0.0008,B-,0.1325,0.018,Ne,22,0.004,,,Even-Even,0.09090909090909094,2.802039330655387
38,1.2939133330259713,-0.3341797681531501,-0.6019970469078717,0.5350968851921512,-2.1166431199815334,0,11,11,22,Na,,0.132,0.006,B-,0.1631,0.141,Na,22,0.0169,,,Odd-Odd,0.0,2.802039330655387
39,1.431903519482902,-0.6984327468689357,,0.553864065335602,,-2,10,12,22,Mg,,0.159,0.0072,B-,,0.17,Mg,22,,3.0688,0.0052,Even-Even,-0.09090909090909083,2.802039330655387
40,1.2947025319411125,-0.2771523149264568,1.2090957367122652,0.535204222325951,-2.208147802807244,3,13,10,23,Ne,-n,0.104,0.0045,B-,0.1044,0.112,Ne,23,0.0071,,,Even-Odd,0.13043478260869568,2.8438669798515654
41,1.16841776134029,-0.05212089014156353,-0.458563485829535,0.5180290266770913,-2.1063671930331913,1,12,11,23,Na,,0.00181,0.0002,B-,0.0317,0.00194,Na,23,0.0021,,,Even-Odd,0.04347826086956519,2.8438669798515654
42,1.285478087808639,-0.355121247635732,-2.0735306112593594,0.5339496633614206,,-1,11,12,23,Mg,-,0.032,0.0014,B-,0.3461,0.034,Mg,23,,3.0425,0.0039,Even-Odd,-0.04347826086956519,2.8438669798515654
43,1.2716840763307868,-0.22232076799771883,0.8314292610519849,0.5320736253902282,-2.2200140517833056,4,14,10,24,Ne,-nn,0.513,0.0214,B-,0.513,0.55,Ne,24,0.0078,,,Even-Even,0.16666666666666663,2.8844991406148166
44,1.2005084408719453,-0.12126385235849968,1.434536403408412,0.5223934780054441,-2.130956018231009,2,13,11,24,Na,-n,0.017,0.0007,B-,0.021,0.017,Na,24,0.0169,,,Odd-Odd,0.08333333333333337,2.8844991406148166
45,1.0413273429172218,0.16279836165586356,-2.4024389665634005,0.5007442566987045,-2.028808411065944,0,12,12,24,Mg,,0.013,0.0006,B-,0.2282,0.013,Mg,24,0.0016,3.0568,0.0018,Even-Even,0.0,2.8844991406148166
46,1.3847028962804164,-0.44344648695277633,1.7918482097288235,0.5474446042167993,-2.182213320509048,5,15,10,25,Ne,,29.045,1.1618,B-,29.0701,31.181,Ne,25,0.0088,,,Even-Odd,0.19999999999999996,2.924017738212866
47,1.1733827800832664,-0.06666189185498468,1.1021296174331003,0.5187042877739859,-2.126796714466204,3,14,11,25,Na,-nn,1.2,0.048,B-,1.2009,1.288,Na,25,0.0252,,,Even-Odd,0.12,2.924017738212866
48,1.062706535469735,0.10920779128905565,-0.5021989853615462,0.5036519055084654,-2.063795495675775,1,13,12,25,Mg,,0.047,0.0019,B-,0.0447,0.05,Mg,25,0.0022,3.0288,0.002,Even-Odd,0.040000000000000036,2.924017738212866
49,1.457331851382668,-0.5700335859147068,1.7957213500593567,-3.0988235738887546,-2.190164930647646,6,16,10,26,Ne,x,18.429,0.7088,B-,18.7585,19.784,Ne,26,0.01,,,Even-Even,0.23076923076923073,2.9624960684073702
50,1.24544657456403,-0.20665574340949275,2.193624223985803,0.528505226909791,-2.107345852742557,4,15,11,26,Na,x,3.502,0.1347,B-,3.5018,3.759,Na,26,0.0331,,,Odd-Odd,0.15384615384615385,2.9624960684073702
51,0.9754992184136669,0.26817305763091626,-0.44832358417938933,0.4917913898730682,-2.0573118751012256,2,14,12,26,Mg,,0.029,0.0011,B-,0.0629,0.031,Mg,26,0.0018,3.0337,0.0018,Even-Even,0.07692307692307687,2.9624960684073702
52,1.2842049107684734,-0.27471731611540623,2.137265604922388,0.5337765082876158,-2.081900700299044,5,16,11,27,Na,++,3.726,0.138,B-,3.7266,4.0,Na,27,0.0467,,,Even-Odd,0.18518518518518523,3.0
53,1.0224814598348728,0.1673241236717619,0.8599114473767854,0.4981811448057509,,3,15,12,27,Mg,,0.047,0.0018,B-,0.0669,0.05,Mg,27,,3.0324,0.0022,Even-Odd,0.11111111111111116,3.0
54,0.9471497019095491,0.26483469240895313,-0.6081189000827228,0.4879357499395401,-2.0239151125191146,1,14,13,27,Al,,0.047,0.0018,B-,0.0964,0.05,Al,27,0.0031,,,Even-Odd,0.03703703703703709,3.0
55,1.7695547111837986,-1.093681765401017,2.7739614553218255,-3.056360103614384,-2.142332937352388,8,18,10,28,Ne,x,126.068,4.5024,B-,126.4833,135.339,Ne,28,0.0134,,,Even-Even,0.2857142857142857,3.0365889718756622
56,1.4149244875021305,-0.5018297099540118,3.118802110920027,0.5515548545005112,-2.0496049298899695,6,17,11,28,Na,x,10.246,0.3659,B-,10.2498,11.0,Na,28,0.0581,,,Odd-Odd,0.2142857142857143,3.0365889718756622
57,1.0099750264159333,0.1797117084193726,0.7057446281376785,0.49648022891490295,,4,16,12,28,Mg,x,0.261,0.0093,B-,0.2653,0.28,Mg,28,,3.0691,0.0034,Even-Even,0.1428571428571429,3.0365889718756622
58,0.8231701162322425,0.43218677678989126,-2.4934512673329885,0.47107406687105585,-1.9488029798252826,0,14,14,28,Si,,0.00051,0.0002,B-,1.1473,0.00055,Si,28,0.0024,,,Even-Even,0.0,3.0365889718756622
59,1.5207909938724624,-0.6705083256877076,2.9725896938317162,-3.0901928939595256,-1.9857473838538446,7,18,11,29,Na,,7.337,0.253,B-,7.3447,7.876,Na,29,0.0723,,,Even-Odd,0.24137931034482762,3.072316825685847
60,1.1371768873678831,-0.04918538140099803,1.845859642423511,0.5137801501450551,,5,17,12,29,Mg,,0.345,0.0119,B-,0.4873,0.369,Mg,29,,3.0756,0.004,Even-Odd,0.1724137931034483,3.072316825685847
61,0.8115602853343328,0.4334709628421389,-0.6338051226251826,0.46949508681243046,-1.9546749380814779,1,15,14,29,Si,,0.00056,0.0002,B-,0.3589,0.0006,Si,29,0.0052,,,Even-Odd,0.03448275862068961,3.072316825685847
62,1.6880239351726662,-0.9300298537076388,3.776296720741096,-3.06744859477608,-1.954185608226795,8,19,11,30,Na,,4.727,0.1576,B-,4.9011,5.074,Na,30,0.0884,,,Odd-Odd,0.2666666666666667,3.1072325059538586
63,1.1871327515719243,-0.13431772744681353,1.7246894836368925,0.52057433332191,,6,18,12,30,Mg,,1.295,0.0432,B-,2.3287,1.39,Mg,30,,3.1107,0.0056,Even-Even,0.19999999999999996,3.1072325059538586
64,0.7383176719433314,0.5372008175524254,-0.49335802482448987,0.4595338171198426,-1.9351017438941598,2,16,14,30,Si,-n,0.022,0.0008,B-,0.0615,0.023,Si,30,0.004,,,Even-Even,0.06666666666666665,3.1072325059538586
65,1.7968644972221888,-1.078801137093695,3.3831425095349337,-3.0526458724390806,-1.8900833972633289,9,20,11,31,Na,x,13.972,0.4507,B-,14.3065,15.0,Na,31,0.0893,,,Even-Odd,0.29032258064516125,3.1413806523913927
66,1.3533424701874086,-0.4011167418577232,2.6830832873987016,0.5431794722769104,,7,19,12,31,Mg,x,3.074,0.0992,B-,3.8009,3.3,Mg,31,,3.1486,0.0076,Even-Odd,0.22580645161290325,3.1413806523913927
67,0.7380988451445987,0.4803267580163599,-0.7239483485585362,0.4595040585777118,-1.8674518914842426,1,16,15,31,P,,0.00075,0.0002,B-,0.2292,0.0008,P,31,0.0019,,,Even-Odd,0.032258064516129004,3.1413806523913927
